phrase,class
see sustainable building next weekend,2
said people west said since guess ' s six month,3
like earthquake,5
ticket 09 oct,0
14 oct,5
interested photo suggest,1
want learn earth exhibition recommend,1
much know,3
like earth,5
3,5
want buy one ticket flooded forest exhibition,0
9 ticket universe room exhibition,0
want buy seven ticket,0
artic passion mine exhibition caixa museum cover,1
' s true ' s true,3
want buy three ticket flooded forest exhibition,0
two ticket flooded forest exhibition,0
space,5
like earth,5
next sunday,5
1,5
see antarctic base friday,2
oh gosh ' ve got go maine,3
feeling mumblex someone calling someone else killed know,3
see antarctic base wednesday,2
like evolution,1
well actually fall church virginia outside city,3
apr 30,5
would like get 4 ticket please,0
five ticket week please,0
exhibition moon,1
interested sustainability suggest,1
call onika,4
need 5 ticket,0
feb 27,2
stand head want,3
want buy five ticket,0
6,5
related south pole,1
6 ticket next wednesday please,0
see flooded forest jun 26,2
name shauntay,4
anyway time spend child,3
show exhibition science,1
' s true really criminal hard - core,3
two ticket next sunday,0
think kid like geological wall,2
see universe room 14 aug,2
exhibition,2
' s nobody holding,3
see geological wall saturday,2
black man accused simply resembled,3
see sustainable building next monday,2
want learn star exhibition recommend,1
,4
see flooded forest saturday,2
want buy four ticket sustainable building exhibition,0
see geological wall feb 25,2
like cosmos,5
love photography exhibition go,1
want learn planet exhibition recommend,1
interested earth suggest,1
' ve always gone u,3
universe passion mine exhibition caixa museum cover,1
nice meet,4
see flooded forest wednesday,2
see geological wall monday,2
three ticket mar 17 please,0
next sunday,5
' ve sitting alternately reading watching television,3
seven day waiting period,3
call christyna,4
would like seven ticket,0
museum open 21 jun,2
love environment earth,5
want learn ecology exhibition recommend,1
would like go sustainable building exhibition next month,0
ecology passion mine exhibition caixa museum cover,1
see people severely injured badly lose control body function,3
visiting museum 17 may part museum see,2
want buy 7 ticket antarctic base exhibition,0
saturday,5
building contra - building supply place,3
five,5
would like 7 ticket please,0
6 ticket may 04,0
interested amazon exhibition go to =,1
see antarctic base aug 01,2
call siaosi,4
like efficiency,5
five ticket wednesday,0
aug 30,5
02 feb,2
call shauntay,4
like sustainability,5
9,5
would really awful,3
really felt kind cynical n ' t peace ever,3
' s right absolutely,3
friday,5
could please get four ticket,0
would like get three ticket,0
' ve got dollar cinema sherman usually see like first - rate movie,3
much eight ticket museum cost ?,0
ticket antarctic base exhibition,0
see sustainable building month,2
five ticket sunday,0
think n ' t sinking,3
10,5
like space,5
need 9 ticket,0
n ' t n ' t graduate best engineer best english major,3
want buy 8 ticket antarctic base exhibition,0
two ticket tuesday please,0
like north pole education,5
would like get six ticket,0
friday,5
interested artic animal,5
called jacen,4
okay well basically like comedy show,3
like river,5
want buy 3 ticket antarctic base exhibition,0
astronomy,5
see universe room 25 may,2
eight ticket month,0
related amazon,1
eight ticket universe room exhibition,0
see geological wall 19 oct,2
need help,4
people know grow small town large town,3
see sustainable building weekend,2
like efficiency cosmos,5
put special program actually held back fourth grade,3
visiting museum next weekend part museum see,2
exhibition antarctic base,2
would quite happy see national law every student required learn english second language,3
called shauntay,4
2 ticket geological wall exhibition,0
ten ticket exhibition environment,0
exhibition astronomy,1
help anything ?,4
love nature evolution,5
two ticket sustainable building exhibition,0
parent kind thing,3
interested physic climate,5
well get get pressurized lumber,3
10 ticket may 17 please,0
interested river,5
ten ticket sustainable building exhibition,0
exhibition photography,2
27 apr,5
see sustainable building monday,2
river passion mine exhibition caixa museum cover,1
isaih,4
want learn brazil exhibition recommend,1
related geology,1
museum open aug 19,2
like moon nature,5
cracking,4
see geological wall sunday,2
happens ?,4
3,5
like earth,5
may 07,2
want send like know fifty cent day,3
two ticket oct 25 please,0
see antarctic base 29 dec,2
see geological wall next saturday,2
like photo,5
interested astronomy south america,5
think idea freedom speech go back whole aspect,3
three ticket dec 20,0
south pole passion mine exhibition caixa museum cover,1
six ticket next wednesday,0
like matter,5
want buy ticket flooded forest exhibition,0
never ' ve never served jury never called jury although friend juror,3
like north pole,5
friday,2
encouraged know help course think ' s helping people,3
see flooded forest next sunday,2
interested photography,5
7 ticket wednesday please,0
eight,5
nan,4
like nature north pole,5
called mao,4
life,5
want buy ten ticket universe room exhibition,0
exploration passion mine exhibition caixa museum cover,1
exhibition universe,1
next tuesday,5
think would rather jail,3
see sustainable building today,2
,4
see sustainable building tuesday,2
need six ticket,0
name keitha,4
like climate,5
called sanjuana,4
interested sustainability exploration,5
interested universe exhibition go to =,1
exhibition plant,1
much four ticket museum cost ?,0
call jenilyn,4
would like go flooded forest exhibition may 29,0
one ticket wednesday,0
m - breeder money bree breed twice year,3
like forest plant,5
see antarctic base thursday,2
love evolution exhibition go,1
could get 10 ticket,0
anyway french movie,3
10 ticket universe room exhibition,0
exhibition flooded forest,2
right let ' s put guess,3
ya,4
hate dubious honor know high,3
would like two ticket please,0
always said kid would n ' t know mcdonald ' s,3
1 ticket,0
9 ticket sustainable building exhibition,0
love climate exhibition go,1
know well guess awhile ' s almost ten year since moved,3
four,5
museum open jul 08,2
love technology,5
8 ticket please,0
interested environment exhibition go to =,1
want buy 8 ticket universe room exhibition,0
antarctic base,5
course ' ve looking since ' m yellow badger,3
kid like geological wall,2
love architecture,5
one ticket antarctic base exhibition,0
see sustainable building friday,2
want learn exploration exhibition recommend,1
3,5
interested universe,5
could please get 5 ticket,0
called jenilyn,4
going,4
jun 19,5
love nature,5
see sustainable building 01 dec,2
3 ticket flooded forest exhibition,0
exploration,5
nine ticket universe room exhibition,0
exhibition cosmos,1
four ticket please,0
case maybe know,3
say n ' t money,3
worth extra money,3
like fishing ...,3
would understand people live,3
everything,4
much three ticket museum cost ?,0
want go tuesday ticket day,0
see antarctic base 22 jan,2
6 ticket antarctic base exhibition,0
called buford,4
visiting museum weekend part museum see,2
show exhibition south america,1
called shawn,4
know,3
want buy 4 ticket antarctic base exhibition,0
oh well ' s bad person definitely,3
like universe,1
love geology,5
well ' s real mexican food ' s real tex - mex mexican know third fourth generation american,3
four ticket geological wall exhibition,0
exhibition photography,1
greeting,4
6 ticket aug 04,0
moon,5
' s good another kid age mean ' s like know ' s ridiculous,3
ya doin,4
would like get six ticket please,0
put nice fence still lot privacy grow lot food,3
outside night know,3
seven ticket exhibition jungle,0
6 ticket exhibition matter,0
see universe room thursday,2
urban planning passion mine exhibition caixa museum cover,1
02 sep,5
interested south pole suggest,1
like photo,1
see flooded forest next thursday,2
5,5
look restaurant ?,3
related plant,1
would think know american whatever,3
ticket geological wall exhibition,0
always wonder someone repair little thing like,3
show exhibition efficiency,1
thing going know would love help somebody know,3
like situation ' s usually real good,3
antarctic base,5
may see slapstick,3
sustainable building suitable kid,2
thing,3
love evolution planet,5
exhibition physic,2
physic earth,5
need 3 ticket,0
rock,5
next monday,2
would n ' t believe even raised chicken,3
go,3
interested astronomy,5
6 ticket 11 oct please,0
want learn river exhibition recommend,1
want buy clothes,3
visiting museum thursday part museum see,2
exhibition climate change,2
interested jungle,5
like climate,5
ten,5
want buy 7 ticket geological wall exhibition,0
interested evolution,5
want buy one ticket universe room exhibition,0
would like buy ticket,0
4 ticket geological wall exhibition,0
related mar,1
30 oct,5
want buy 9 ticket exhibition rock,0
six,5
geology passion mine exhibition caixa museum cover,1
dec 25,5
six ticket monday,0
involved ' s going cost u long run,3
name jacen,4
go right personnel got form personnel maybe,3
think well word,3
see sustainable building may 23,2
sustainable building,2
ten ticket jun 28,0
christyna,4
love earth exhibition go,1
love life,5
see universe room 28 feb,2
see sustainable building next saturday,2
like exploration,5
love amazon,5
want buy 5 ticket sustainable building exhibition,0
like landscape,5
exhibition geology,2
geological wall exhibit start,2
interested geology,5
jungle sustainability,5
3,5
year life much,3
love volcano exhibition go,1
ticket next sunday please,0
space passion mine exhibition caixa museum cover,1
related exploration,1
education,5
see universe room mar 23,2
1 ticket next wednesday,0
name siaosi,4
see antarctic base nov 02,2
want buy ten ticket exhibition education,0
jun 18,5
see universe room next thursday,2
like moon,5
hello !,4
want buy one ticket flooded forest exhibition,0
related gravity,1
see antarctic base next monday,2
mean thing way grow carrot cabbage sort mumblex go waste,3
g morining,4
exhibit,2
love artic exhibition go,1
3 ticket,0
4 ticket next month please,0
,4
education passion mine exhibition caixa museum cover,1
ticket month please,0
like life,5
four ticket 01 mar please,0
three ticket may 22 please,0
9,5
four ticket universe room exhibition,0
could please get ticket,0
efficiency,5
want buy two ticket universe room exhibition,0
tomorrow,2
think ?,3
five,5
would like 10 ticket,0
climate,5
7 ticket 22 jan please,0
like planet,5
5 ticket antarctic base exhibition,0
like said join navy see world type thing know,3
exhibition volcano,1
feel like n ' t people n ' t like flag stand welcome go place else,3
6,5
like space,1
apr 24,2
show exhibition planet,1
called boaz,4
2,5
unless absolutely forced,3
would like get 3 ticket,0
want learn forest exhibition recommend,1
like forest,5
see geological wall jun 11,2
see geological wall next thursday,2
created flooded forest,2
science passion mine exhibition caixa museum cover,1
would like get seven ticket,0
cerebral palsy bad communicate,3
like rock exploration,5
thing,4
want buy four ticket antarctic base exhibition,0
like jungle,5
06 nov,5
related climate,1
interested climate change,5
love light,5
universe room,2
visiting museum thursday part museum see,2
think kid like antarctic base,2
see sustainable building 06 aug,2
love south pole water,5
exhibition life,1
4,5
nice day,4
next week,5
5 ticket jun 13,0
exhibition light,1
like animal,5
hey,4
need four ticket,0
see sustainable building dec 21,2
exhibition science,1
lovely day,4
one ticket universe room exhibition,0
want learn plant exhibition recommend,1
3,5
show exhibition exploration,1
would like get one ticket please,0
andreia,4
agree group ' m part go month call heritage house,3
antarctic base,5
interested volcano suggest,1
called isabela,4
learn drive tractor,3
physic passion mine exhibition caixa museum cover,1
see universe room wednesday,2
like earth,5
moon climate change,5
want buy six ticket geological wall exhibition,0
would n ' t like anything nature know,3
like design,5
would like get 9 ticket please,0
see universe room 18 may,2
efficiency passion mine exhibition caixa museum cover,1
museum open next week,2
interested evolution geology,5
hey thanks lot talk later,3
next thursday,5
mean back show see show lost fat ?,3
9,5
five ticket 12 jan please,0
11 jan,5
30 jun,5
like plant,5
well could could see would important,3
eat lot,3
want buy 9 ticket universe room exhibition,0
oh n ' t heard,3
exhibition south america,1
right e - even know company policy immediate termination whatever still replace,3
like animal,1
sp - know pull ' ve always done kid know yanked,3
9 ticket today please,0
exhibit,2
one,5
ticket universe room exhibition,0
life passion mine exhibition caixa museum cover,1
love volcano,5
want buy eight ticket exhibition gravity,0
' s possible guess,3
interested north pole big bang,5
mean leave something anywhere might well forget,3
interested climate change rock,5
new,4
interested water,5
like efficiency,5
oh tremend - well seven hour labor,3
see flooded forest wednesday,2
hello,4
mar 18,5
see geological wall may 24,2
exposure know worldliness speak,3
lawyer background law background right,3
seven ticket next tuesday please,0
want buy 9 ticket geological wall exhibition,0
next saturday,2
never mother used cook whole pan full squash would squash corn bread,3
biodiversity universe,5
show exhibition earth,1
want buy 1 ticket universe room exhibition,0
see antarctic base aug 30,2
want learn sun exhibition recommend,1
someone come design going make,3
7 ticket 27 aug,0
like light,5
want buy 5 ticket geological wall exhibition,0
visiting museum wednesday part museum see,2
watch cat tear,3
nine ticket monday please,0
like matter,5
like gravity,5
like science,5
like geology nature,5
next monday,5
hence possible error see ironside,3
called lindzy,4
like evolution,5
want learn big bang exhibition recommend,1
exhibition star,1
tuesday,2
' s right careful ' s pretty funny,3
speech signal said,3
get 3 ticket please,0
love climate change,5
be - love freedom,3
exhibition sustainable building,2
river,5
9 ticket 05 jan,0
